name,time,hex,type,ZTMK201-星敏A测量系原始数据q0,ZTMK202-星敏A测量系原始数据q1,ZTMK203-星敏A测量系原始数据q2,ZTMK204-星敏A测量系原始数据q3,ZTMK205-星敏B测量系原始数据q0,ZTMK206-星敏B测量系原始数据q1,ZTMK207-星敏B测量系原始数据q2,ZTMK208-星敏B测量系原始数据q3,ZTMK209-太敏测量系tanalfa,ZTMK210-太敏测量系tanbeta,ZTMK211-IMU卫星本体系角速度X,ZTMK212-IMU卫星本体系角速度Y,ZTMK213-IMU卫星本体系角速度Z,ZTMK214-X轮驱动指令转速,ZTMK215-Y轮驱动指令转速,ZTMK216-Z轮驱动指令转速,ZTMK217-S轮驱动指令转速,ZTMK218-太阳矢量与帆板中间的夹角,ZTMK219-磁强计陀螺EKF定角速度的误差,ZTMK220-星敏A与地球夹角,ZTMK221-星敏A与太阳夹角,ZTMK222-星敏B与地球夹角,ZTMK223-星敏B与太阳夹角,ZTMK224-星敏AB之间定姿误差,ZTMK225-双矢量定姿和星敏间误差,ZTMK226-磁强计陀螺EKF定姿的误差,ZTMK227-太敏测量与计算矢量夹角,ZTMK228-磁强计测量和计算矢量夹角,ZTMK229-HMR2300卫星本体系磁场强度X,ZTMK230-HMR2300卫星本体系磁场强度Y,ZTMK231-HMR2300卫星本体系磁场强度Z,ZTMK232-IMU卫星本体系磁场强度X,ZTMK233-IMU卫星本体系磁场强度Y,ZTMK234-IMU卫星本体系磁场强度Z,ZTMK235-推力器上注轨控时间长度,ZTMK236-星敏A识别星个数,ZTMK237-星敏A观测星个数,ZTMK238-星敏A图像灰度均值,ZTMK239-星敏A温度,ZTMK240-星敏B识别星个数,ZTMK241-星敏B观测星个数,ZTMK242-星敏B图像灰度均值,ZTMK243-星敏B温度,ZTMK244-系统初始化原因,ZTMK245-日历秒
0x090F,1730692567413000000,03ff3f26e0233f2be6a7be4c608cbe94b3663d8a15223f6ec526beaed3fcbdc19c293d31c6863e8f79cc3d8f5c293d8f5c293d8f5c29c4b0f200449a38c600000000c507496c417da53f3e909d4c36af273336b0286d0013008a463f4c6600b5123bfc7ab09713873a97138702580f3f0314183f0713002a,1,0.6518575549125671,0.6714882254600525,-0.1995870471000671,-0.2904312014579773,0.0674231201410293,0.932695746421814,-0.3414610624313354,-0.0945361331105232,0.0434022173285484,0.2802261114120483,0.0700000002980232,0.0700000002980232,0.0700000002980232,-1415.5625,1233.774169921875,0.0,-2164.5888671875,15.852843284606934,0.2824500799179077,139.99,100.35,140.0,103.49,0.19,1.38,179.83,195.58,1.81,9334.0,-1804.0,-40658.0,9998.0,29998.0,9998.0,600,15,63,3,20,24,63,7,19,0,42
0x090F,1730767332340000000,03ff3f4c0f62be932e7e3e3745553efff93a000000000000000000000000000000003cb27e443fafdf4f3d0914b23b00d54d3c1c3963c58cc3f9448842c400000000c4ba555a4257d3383ca88bc0340c31de163432573e78016f1c790044024b419a09dacf1f386a1546e30200000d3f04ff00000009000b,0,0.7971097230911255,-0.2874640822410583,0.1789754182100296,0.4999483227729797,0.0,0.0,0.0,0.0,0.0217887237668037,1.3740023374557495,0.0334670022130012,0.0019658387172967,0.0095351664349436,-4504.49658203125,1090.08642578125,0.0,-1490.667236328125,53.95626831054688,0.0205744504928588,133.24,127.66,56.84,128.87,159.92000000000002,3.67,72.89,0.68,5.87,33588.0,5044.0,-25026.0,28884.0,10892.0,-14844.0,0,13,63,4,255,0,0,0,9,0,11
0x090F,1730767333340000000,03ff3f4c8238be92c57c3e34b5ae3eff3b30000000000000000000000000000000003c9ae9103fad881e3d05cef03b00d54d3c1150ddc58648de447faa5500000000c4c0e06c42565baf3ca8abb3341931d11644323a3e8301781c7d0046025041c2097dcf0f387114bee2fb00000d3f04ff00000009000c,0,0.7988619804382324,-0.2866629362106323,0.1764743030071258,0.4984984397888183,0.0,0.0,0.0,0.0,0.0189099609851837,1.3557164669036863,0.0326680541038513,0.0019658387172967,0.0088693769648671,-4297.1083984375,1022.6614379882812,0.0,-1543.01318359375,53.58953475952149,0.0205896850675344,133.37,127.53,57.0,128.58,160.03,3.76,72.93,0.7000000000000001,5.92,33668.0,4858.0,-25058.0,28898.0,10620.0,-14858.0,0,13,63,4,255,0,0,0,9,0,12
0x090F,1730767334340000000,03ff3f4cebf9be9253cb3e32486f3efe9633000000000000000000000000000000003c8207c23fab7f693d0314cf3acd4e7b3c209666c58566784470cf7a00000000c4b6fbba42550fe73ca8cc2e342631c61652321f3e8c017a1c81004a024d41ea0912cf2338911463e30f00000c3f04ff00000009000d,0,0.8004756569862366,-0.2857955396175384,0.1741044372320175,0.4972396790981293,0.0,0.0,0.0,0.0,0.0158728398382663,1.3398257493972778,0.0320022664964199,0.001566364779137,0.0098014827817678,-4268.80859375,963.2418212890624,0.0,-1463.866455078125,53.26552963256836,0.0206051729619503,133.5,127.42,57.14,128.31,160.12,3.78,72.97,0.74,5.89,33748.0,4644.0,-25018.0,28962.0,10438.0,-14818.0,0,12,63,4,255,0,0,0,9,0,13
0x090F,1730767335340000000,03ff3f4d5581be91e52c3e30227e3efde104000000000000000000000000000000003c4f590b3fa97fc83d03a06f3af0368f3c137f5ec581741c445b878700000000c4bb338b4253c5033ca8ed2a343031bc165f32033e94017b1c88004d0249421808abcf3338a5140ee32200000c3f04ff00000009000e,0,0.8020859360694885,-0.2849515676498413,0.1720065772533416,0.4958573579788208,0.0,0.0,0.0,0.0,0.0126555068418383,1.3242120742797852,0.0321354232728481,0.0018326806602999,0.0090025346726179,-4142.513671875,878.1176147460938,0.0,-1497.6107177734375,52.9423942565918,0.0206209011375904,133.6,127.32,57.27,128.03,160.20000000000002,3.79,73.04,0.77,5.8500000000000005,33840.0,4438.0,-24986.0,29002.0,10268.0,-14780.0,0,12,63,4,255,0,0,0,9,0,14
0x090F,1730767336340000000,03ff3f4db993be916cbd3e2e0d343efd3dcd000000000000000000000000000000003c21eb8d3fa7a0a93d02892e3af0368f3c29506bc57f83cb44486d3a00000000c4bc6a2e42528ac73ca90ea7343a31b2166b31ea3e9a017c1c8c00500245424b085bcf3d38df13ade31500000e3f04ff00000009000f,0,0.8036128878593445,-0.2840327322483063,0.1699722409248352,0.4946121275424957,0.0,0.0,0.0,0.0,0.0098828198388218,1.309590458869934,0.0318691059947013,0.0018326806602999,0.0103341145440936,-4088.237060546875,801.7066650390625,0.0,-1507.318115234375,52.63552474975586,0.0206368695944547,133.7,127.22,57.39,127.78,160.26,3.8,73.08,0.8,5.8100000000000005,33942.0,4278.0,-24966.0,29118.0,10074.0,-14806.0,0,14,63,4,255,0,0,0,9,0,15
0x090F,1730767337340000000,03ff3f4e1932be90ee873e2c422c3efc9d6c000000000000000000000000000000003c0116173fa5c8983d0171ed3a6c14873c1c3963c57faa5f445e7a1500000000c4b23c72425151013ca930ac344131a6167431d23e9e01851c920050024f42510801cf2638f31345e32900000f3f04ff000000090010,0,0.8050719499588013,-0.2830698192119598,0.1682211756706237,0.4933885335922241,0.0,0.0,0.0,0.0,0.0078788017854094,1.2951841354370115,0.0316027887165546,0.0009005744359456,0.0095351664349436,-4090.648193359375,889.9075317382812,0.0,-1425.888916015625,52.32910537719727,0.0206530913710594,133.77,127.1,57.48,127.54,160.3,3.89,73.14,0.8,5.91,33954.0,4098.0,-25012.0,29158.0,9866.0,-14766.0,0,15,63,4,255,0,0,0,9,0,16
0x090F,1730767338340000000,03ff3f4e7c26be9068703e2a96523efbef57000000000000000000000000000000003bd76ccf3fa3ca013d0171ed3a877e4f3c137f5ec5812620445a3e0100000000c4aa0a4a424ff8d33ca9534034473196167c31bb3ea101811c97004d024a42790796cf37390012e3e33c00000f3f04ff000000090011,0,0.8065818548202515,-0.2820467948913574,0.1665890514850616,0.4920603930950165,0.0,0.0,0.0,0.0,0.0065742502920329,1.2796021699905396,0.0316027887165546,0.00103373255115,0.0090025346726179,-4132.765625,872.9688110351562,0.0,-1360.321533203125,51.99299240112305,0.0206695795059204,133.83,126.94,57.56,127.31,160.33,3.85,73.19,0.77,5.86,34034.0,3884.0,-24978.0,29184.0,9670.0,-14728.0,0,15,63,4,255,0,0,0,9,0,17
0x090F,1730767339340000000,03ff3f4ed839be8fede93e28c4123efb55a9000000000000000000000000000000003bce96073fa1d9723d02892e3acd4e7b3c137f5ec5819e1d444f79fd00000000c49e1a2d424ea5333ca9765c344f3183168631a73ea5017c1c9a004a024642a1072ccf4e39541288e33600000f3f04ff000000090012,0,0.8079867959022522,-0.2811119854450226,0.164810448884964,0.4908879101276397,0.0,0.0,0.0,0.0,0.0063045057468116,1.2644484043121338,0.0318691059947013,0.001566364779137,0.0090025346726179,-4147.76416015625,829.9060668945312,0.0,-1264.8179931640625,51.66132736206055,0.0206863209605216,133.91,126.75,57.66,127.11,160.37,3.8,73.22,0.74,5.82,34114.0,3672.0,-24932.0,29352.0,9488.0,-14740.0,0,15,63,4,255,0,0,0,9,0,18
0x090F,1730767340340000000,03ff3f4f3a2dbe8f72ef3e26c5663efaae35000000000000000000000000000000003bbe58b03f9fd8cb3d0314cf3abbda6f3c0f225bc5806f744443b31d00000000c497947d424d41413ca99a0f3458316f169131913eaa017b1c9e0049024342e406d2cf4739751227e33c0000113f04ff000000090013,0,0.8094814419746399,-0.2801737487316131,0.1628623902797699,0.489610344171524,0.0,0.0,0.0,0.0,0.005808912217617,1.2488034963607788,0.0320022664964199,0.0014332066057249,0.0087362183257937,-4109.931640625,782.7986450195312,0.0,-1212.6402587890625,51.313724517822266,0.0207033436745405,134.0,126.55,57.77,126.89,160.42000000000002,3.79,73.26,0.73,5.79,34248.0,3492.0,-24946.0,29418.0,9294.0,-14728.0,0,17,63,4,255,0,0,0,9,0,19
