name,time,hex,type,星上时间-秒,毫秒,主测控数传状态,备测控数传状态,主GNSS状态,备GNSS状态,主DCS状态,备DCS状态,主VDES状态,备VDES状态,ADSB状态,扩展板状态,能源安全,备用1,备用2,母线电压,母线电流,蓄电池电流,蓄电池电压,单体1电压,单体2电压,单体3电压,单体4电压,单体5电压,单体6电压,单体7电压,上注指令接收计数,上注指令执行计数,上注指令错误计数,备用3,备用4,备用5,上注指令码编号,整星能源状态,转姿控能源安全标志,整星能源模式
0x3030,1730767340340000000,0cdfefec352200000008ae2d820e020bc70bb60c4b0b650c080c980c1e0000000000000000000016,0,2024-11-05 00:42:20,340.05,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.422187988281248,1.964078125,-0.3100156249999983,29.629439635497917,4.189262359619141,4.2026863769531255,4.235228978271405,4.245311522216797,4.25382783203125,4.285376123046875,4.311926999511719,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767341340000000,0cdfefed352300000008b02f820dfb0bdd0bb00c420b5b0c060c9f0c1e0000000000000000000016,0,2024-11-05 00:42:21,340.07500000000005,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.44842578125,2.049859375,-0.3100156249999983,29.572218755004748,4.218371405029297,4.194453515625001,4.223497150878828,4.231296055908203,4.251122749023438,4.294344061279298,4.311926999511719,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767342340000000,0cdfefee352300000008ac2f830dfa0bd90bc70c500b680c0a0c8e0c170000000000000000000016,0,2024-11-05 00:42:22,340.07500000000005,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.395950195312498,2.049859375,-0.4805234374999969,29.564044343505724,4.213078851318359,4.226012817382813,4.241746660156171,4.249516162109375,4.256532915039063,4.272564782714844,4.302449407958985,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767343340000000,0cdfefef352300000008b62d820dff0bd20bc10c370b540c030c950c130000000000000000000016,0,2024-11-05 00:42:23,340.07500000000005,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.52713916015625,1.964078125,-0.3100156249999983,29.604916401000843,4.203816882324219,4.217779956054688,4.209158250732344,4.221485229492187,4.247065124511719,4.281532720947266,4.297033641357422,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767344340000000,0cdfeff0352300000008b033820e000be10bc40c400b600c0d0c970c200000000000000000000016,0,2024-11-05 00:42:24,340.07500000000005,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.44842578125,2.221421875,-0.3100156249999983,29.613090812499863,4.223663958740235,4.2218963867187504,4.2208900781249215,4.2383037890625,4.2605905395507815,4.284094989013672,4.3146348828125,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767345340000000,0cdfeff1352300000008af36830dff0bb70bcc0c340b5b0c040c930c170000000000000000000016,0,2024-11-05 00:42:25,340.07500000000005,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.435306884765623,2.35009375,-0.4805234374999969,29.604916401000843,4.168092144775391,4.2328735351562505,4.205247641601484,4.231296055908203,4.248417666015626,4.27897045288086,4.302449407958985,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767346340000000,0cdfeff2352400000008b231820dfd0bc90bb40c440b660c0d0c8d0c100000000000000000000016,0,2024-11-05 00:42:26,340.1,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.47466357421875,2.135640625,-0.3100156249999983,29.588567578002795,4.19190863647461,4.19994208984375,4.226104223632734,4.246713068847656,4.2605905395507815,4.271283648681641,4.29297181640625,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767347340000000,0cdfeff3352400000008ae2f830e040be20bc90c490b530c0c0c950c0f0000000000000000000016,0,2024-11-05 00:42:27,340.1,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.422187988281248,2.049859375,-0.4805234374999969,29.64578845849596,4.224987097167969,4.228757104492188,4.232621905517499,4.220083682861328,4.259237998046875,4.281532720947266,4.291617874755859,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767348340000000,0cdfeff4352400000008af30830e030bd50baf0c410b5a0c010c880c180000000000000000000016,0,2024-11-05 00:42:28,340.1,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.435306884765623,2.09275,-0.4805234374999969,29.637614046996937,4.207786297607422,4.1930813720703135,4.222193614501874,4.229894509277344,4.244360041503906,4.264877978515625,4.303803349609376,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767349340000000,0cdfeff5352400000008b92d830e040bd40bd00c3f0b600bff0c980c140000000000000000000016,0,2024-11-05 00:42:29,340.1,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.56649584960937,1.964078125,-0.4805234374999969,29.64578845849596,4.206463159179688,4.238362109375001,4.219586541747968,4.2383037890625,4.241654958496095,4.285376123046875,4.298387583007813,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767350340000000,0cdfeff6352500000008b32e830e040bd00bcc0c500b6a0c010c930c1c0000000000000000000016,0,2024-11-05 00:42:30,340.125,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.487782470703124,2.00696875,-0.4805234374999969,29.64578845849596,4.20117060546875,4.2328735351562505,4.241746660156171,4.252319255371094,4.244360041503906,4.27897045288086,4.3092191162109375,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767351340000000,0cdfeff7352500000008b82e830e080bd40bbc0c3d0b5a0c0c0c910c150000000000000000000016,0,2024-11-05 00:42:31,340.125,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.553376953125,2.00696875,-0.4805234374999969,29.67848610449205,4.206463159179688,4.21091923828125,4.216979468994062,4.229894509277344,4.259237998046875,4.2764081848144535,4.299741524658203,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767352340000000,0cdfeff8352500000008b22d830e030bc50bb10c370b630c0c0c960c1e0000000000000000000016,0,2024-11-05 00:42:32,340.125,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.47466357421875,1.964078125,-0.4805234374999969,29.637614046996937,4.186616082763672,4.195825659179688,4.209158250732344,4.242508428955079,4.259237998046875,4.2828138549804695,4.311926999511719,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
0x3030,1730767353340000000,0cdfeff9352500000008af2d830e020be40bc70c440b620c130ca00c180000000000000000000016,0,2024-11-05 00:42:33,340.125,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,未发生,0,0,29.435306884765623,1.964078125,-0.4805234374999969,29.629439635497917,4.227633374023438,4.226012817382813,4.226104223632734,4.241106882324218,4.268705788574219,4.295625195312501,4.303803349609376,0,0,0,0,0,0,0x00000000,1能源充足（搭载载荷加电）,能源充足,正常模式
