name,time,hex,type,ZTMV001-遥测请求指令计数,ZTMV002-正确指令计数,ZTMV003-错误指令计数,ZTMV004-最近执行指令码,ZTMV005-DSP复位计数,ZTMV006-AIS接收本振锁定指示,ZTMV006-VDE接收本振锁定指示,ZTMV006-VDE发射本振锁定指示,ZTMV006-功放功率选择,ZTMV006-1pps状态指示,ZTMV006-DSP程序来源,ZTMV006-FLASH1状态,ZTMV006-FLASH0状态,ZTMV007-发射机开关,ZTMV007-未定义,ZTMV007-CAN总线使用标识,ZTMV007-中频采集工作状态,ZTMV008-AIS1通道信噪比,ZTMV009-AIS2通道信噪比,ZTMV010-ASM1通道信噪比,ZTMV011-ASM2通道信噪比,ZTMV012-LAIS1通道信噪比,ZTMV013-LAIS2通道信噪比,ZTMV014-VDE1通道信噪比,ZTMV015-VDE2通道信噪比,ZTMV016-VDE3通道信噪比,ZTMV017-VDE4通道信噪比,ZTMV018-VDE5通道信噪比,ZTMV019-VDE6通道信噪比,ZTMV020-错误类型识别码,ZTMV021-错误计数,ZTMV022-DSP当前版本,ZTMV023-3.6V电源,ZTMV024-5.3V电源,ZTMV025-7.7V电源,ZTMV026-发射功率,ZTMV027-温度遥测,ZTMV028-数传接收计数,ZTMV029-AIS包计数,ZTMV030-LAIS包计数,ZTMV031-ASM包计数,ZTMV032-VDE包计数,ZTMV033-时钟校正,ZTMV034-下行业务帧余量,ZTMV035-下行业务帧计数,ZTMV036-信息转发计数,ZTMV037-备用
0x0A73,1730844876794000000,03ff1901000202ef0000000000000000000000000000008241618e009b00000000000000000000190ff00000000005ab060000000000,0,25,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,130,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab060000000000
0x0A73,1730844877794000000,03ff1a01000202ef0000000000000000000000000000008241618e009b00000000000000000000190ff00000000005ab020000000000,0,26,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,130,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab020000000000
0x0A73,1730844878794000000,03ff1b01000202ef0000000000000000000000000000008241618e009b00000000000000000000190ff00000000005ab020000000000,0,27,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,130,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab020000000000
0x0A73,1730844879794000000,03ff1c01000202ef0000000000000000000000000000008241618e009b00000000000000000000190ff00000000005ab020000000000,0,28,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,130,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab020000000000
0x0A73,1730844880794000000,03ff1d01000202ef0000000000000000000000000000008241618e009b00000000000000000000190ff00000000005ab020000000000,0,29,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,130,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab020000000000
0x0A73,1730844881794000000,03ff1e01000202ef0000000000000000000000000000009241618e009b00000000000000000000190ff00000000005ab0e0000000000,0,30,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0e0000000000
0x0A73,1730844882794000000,03ff1f01000202ef0000000000000000000000152100009241618e009b00000000000000000000000ff00000000005ab0f0000000000,0,31,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,0,4080,0,0,0x05ab0f0000000000
0x0A73,1730844883794000000,03ff2001000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,32,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
0x0A73,1730844884794000000,03ff2101000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,33,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
0x0A73,1730844885794000000,03ff2201000202ef0000000000000000000000152100009241618e009b00000000000000000000190ff00000000005ab0f0000000000,0,34,1,0,DSP重载,2,锁定,锁定,锁定,2W,正常,FLASH1,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,26.444385894678387,30.370278797557752,没有错误,0,146,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab0f0000000000
