name,time,hex,type,ZTMK100-年,ZTMK101-月,ZTMK102-日,ZTMK103-时,ZTMK104-分,ZTMK105-秒,ZTMK106-HEATH行编号,ZTMK107-HEATH列编号,ZTMK108-HEATH数据状态无效计数,ZTMK109-共用行号,ZTMK110-共用列号,ZTMK111-共用行列指示数据,ZTMK112-姿控模式切换计数,ZTMK113-姿控系统重启计数,ZTMK114-接收指令编号,ZTMK115-星务能源级别,ZTMK116-姿控卸载时长,ZTMK117-陀螺积分定姿时长,ZTMK118-姿态机动未完成异常计数,ZTMK119-姿态指向状态标志,ZTMK120-姿控切机请求标志,ZTMK121-磁力矩器X控制百分比,ZTMK122-磁力矩器Y控制百分比,ZTMK123-磁力矩器Z控制百分比,ZTMK124-太阳矢量X_body,ZTMK125-太阳矢量Y_body,ZTMK126-太阳矢量Z_body,ZTMK127-陀螺主备优先使用标志,ZTMK127-姿控异常自主判断,ZTMK127-自动对日自主切换,ZTMK127-星敏微分优先,ZTMK127-ACCMODE,ZTMK127-单轴对日,ZTMK127-自主防护启动开关,ZTMK127-供电自主切换,ZTMK128-星敏使用优先级,ZTMK128-姿态偏置是否启动,ZTMK128-进入SAA区域,ZTMK128-Y轮偏置启动标志,ZTMK128-陀螺基准有效标志,ZTMK128-陀螺校准流程启动,ZTMK128-过测站凝视允许标志,ZTMK128-连续偏航允许标志,ZTMK129-星敏工作模式,ZTMK129-星敏成像器件状态,ZTMK129-星敏时间戳有效标志,ZTMK129-星敏姿态有效标志,ZTMK129-星敏抗杂光功能开启标志,ZTMK129-星点提取状态,ZTMK129-星敏传输标志位,ZTMK130-星敏识别星个数,ZTMK131-星敏观测星个数,ZTMK132-星敏图像灰度均值,ZTMK133-星敏成像器件温度,ZTMK134-星敏曝光时间,ZTMK135-星敏A故障重启次数,ZTMK136-星敏B故障重启次数,ZTMK137-太敏故障重启次数,ZTMK138-磁强计故障重启次数,ZTMK139-主陀螺故障重启次数,ZTMK140-备陀螺故障重启次数,ZTMK141-X轮动量故障重启次数,ZTMK142-Y轮动量故障重启次数,ZTMK143-Z轮动量故障重启次数,ZTMK144-S轮动量故障重启次数,ZTMK145-单次轨控时间长度,ZTMK146-总轨控时间长度
0x090E,1730767373340000000,03ffb405002a340a01020500080e6900550a00074455fd02c40800c81d8e1987c10805000000090001010000000000000500000051,0,2024,11,5,0,42,52,10,1,2,5,0,8,14,105,0,85,10,0,1860,指向正常,error,2,-60,8,0.02,0.7566,0.6535000000000001,有效,有效,无效,无效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,error,异常,未设,无效,开启,正常,B星敏,0,0,0,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767377340000000,03ffb405002a380a01020600000e6939550a00074855fd18c42d00cd1e0d18f0d10805000000090001010000000000000500000051,0,2024,11,5,0,42,56,10,1,2,6,0,0,14,105,57,85,10,0,1864,指向正常,error,24,-60,45,0.0205,0.7693,0.6384000000000001,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,error,异常,未设,无效,开启,正常,B星敏,0,0,0,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767381340000000,03ffb405002b000a06030600000e6939550a00074c55fd22e73b00941e5f188ed10805000000090001010000000000000500000051,0,2024,11,5,0,43,0,10,6,3,6,0,0,14,105,57,85,10,0,1868,指向正常,error,34,-25,59,0.0148,0.7775000000000001,0.6286,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,error,异常,未设,无效,开启,正常,B星敏,0,0,0,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767385340000000,03ffb405002b040a06030700010e6939550a00075055fd21f63b00151e9a1846d10805000000090001010000000000000500000051,0,2024,11,5,0,43,4,10,6,3,7,0,1,14,105,57,85,10,0,1872,指向正常,error,33,-10,59,0.0021,0.7834,0.6214000000000001,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,error,异常,未设,无效,开启,正常,B星敏,0,0,0,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767389340000000,03ffb405002b080a093f0700010e6939550a00075455fd1ffb3cffc11e8e1855d10805000000090001010000000000000500000051,0,2024,11,5,0,43,8,10,9,63,7,0,1,14,105,57,85,10,0,1876,指向正常,error,31,-5,60,-0.0063,0.7822,0.6229,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,error,异常,未设,无效,开启,正常,B星敏,0,0,0,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767393340000000,03ffb405002b0c0a093f0800070e6939550a00075855fd1cf93bfee11ebe1811d10805000000090001010000000000000500000051,0,2024,11,5,0,43,12,10,9,63,8,0,7,14,105,57,85,10,0,1880,指向正常,error,28,-7,59,-0.0287,0.787,0.6161,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,error,异常,未设,无效,开启,正常,B星敏,0,0,0,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767397340000000,03ffb405002b100b01080800070e69da550a00075c55fd19fb3cfe3b1ee117dad10805000000090001010000000000000500000051,0,2024,11,5,0,43,16,11,1,8,8,0,7,14,105,218,85,10,0,1884,指向正常,error,25,-5,60,-0.0453,0.7905000000000001,0.6106,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,error,异常,未设,无效,开启,正常,B星敏,0,0,0,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767401340000000,03ffb405002b140b01080900030e69da550a00076055fd17fc3cfd661f141785d10885000007090001010000000000000500000051,0,2024,11,5,0,43,20,11,1,8,9,0,3,14,105,218,85,10,0,1888,指向正常,error,23,-4,60,-0.0666,0.7956000000000001,0.6021000000000001,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,全天,异常,未设,无效,开启,正常,B星敏,0,0,7,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767405340000000,03ffb405002b180b06010900030e69da550a00076455fd14fe3cfc681f571709d10885000007090001010000000000000500000051,0,2024,11,5,0,43,24,11,6,1,9,0,3,14,105,218,85,10,0,1892,指向正常,error,20,-2,60,-0.092,0.8023,0.5897,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,全天,异常,未设,无效,开启,正常,B星敏,0,0,7,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767409340000000,03ffb405002b1c0b06010a00480e69da550a00076855fd12ff3cfc101f5316ffd10885000007090001010000000000000500000051,0,2024,11,5,0,43,28,11,6,1,10,0,72,14,105,218,85,10,0,1896,指向正常,error,18,-1,60,-0.1008,0.8019000000000001,0.5887,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,全天,异常,未设,无效,开启,正常,B星敏,0,0,7,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767413340000000,03ffb405002b200b09260a00480e69da550a00076c55fd10ff3cfb801f6416cdd10895000804090001010000000000000500000051,0,2024,11,5,0,43,32,11,9,38,10,0,72,14,105,218,85,10,0,1900,指向正常,error,16,-1,60,-0.1152,0.8036000000000001,0.5837,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,全天,异常,设置,无效,开启,正常,B星敏,0,8,4,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767417340000000,03ffb405002b240b09260b00330e69da550a00077055fd0e013cfac81f8e166cd108cd0b3fcb090001010000000000000500000051,0,2024,11,5,0,43,36,11,9,38,11,0,51,14,105,218,85,10,0,1904,指向正常,error,14,1,60,-0.1336,0.8078000000000001,0.5740000000000001,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,跟踪,异常,未设,有效,开启,正常,B星敏,11,63,203,9,0,1,1,0,0,0,0,0,0,5,0,0,81
0x090E,1730767421340000000,03ffb405002b280c093a0b00330e691a550b00077455fd0b013cf9f71fb615fdd108dc0c3f03ff0001010000000000000500000051,0,2024,11,5,0,43,40,12,9,58,11,0,51,14,105,26,85,11,0,1908,指向正常,error,11,1,60,-0.1545,0.8118000000000001,0.5629000000000001,有效,有效,无效,有效,无效,无效,无效,有效,A星敏,无效,无效,无效,有效,无效,无效,无效,跟踪,异常,设置,有效,开启,正常,A星敏,12,63,3,255,0,1,1,0,0,0,0,0,0,5,0,0,81
